Plant,Area,Date,Hot Water  Temp,Cold Water  Temp,Dry Bulb  Temp,Wet Bulb  Temp,Range,Approach,Cooling Tower  Effectiveness,Remark,Status,Responsibility,User Compliance  Status,User Remarks
HIRAKUD-SMELTER,IR Cooling Tower,15-MAY-2025,37,30,36,30,7,6,53.85,OK,NORMAL,,,
HIRAKUD-SMELTER,IR Cooling Tower,21-APR-2025,34,28,31,23,6,5,54.55,OK,NORMAL,,,
HIRAKUD-SMELTER,IR Cooling Tower,20-MAR-2025,38,28,20,22,10,6,62.5,OK,NORMAL,,,
HIRAKUD-SMELTER,IR Cooling Tower,23-SEP-2024,30,25,28,20,5,5,50,OK,Low Efficient,,Open,
HIRAKUD-SMELTER,IR Cooling Tower,22-JAN-2025,36,30,27,17,6,13,31.58,Cooling Tower Performance Needs To Be Improvement,Low Efficient,,Open,
HIRAKUD-SMELTER,IR Cooling Tower,19-AUG-2024,46,36,32,24,10,12,45.45,Cooling Tower Performance Needs To Be Improvement,Low Efficient,,Open,
HIRAKUD-SMELTER,IR Cooling Tower,18-DEC-2024,35,29,28,18,6,11,35.29,Cooling Tower Performance Needs To Be Improvement,Low Efficient,,Open,
HIRAKUD-SMELTER,IR Cooling Tower,22-NOV-2024,36,30,28,18,6,12,33.33,Cooling Tower Performance Needs To Be Improvement,Low Efficient,,Open,
HIRAKUD-SMELTER,IR Cooling Tower,21-OCT-2024,47,35,35,21,12,14,46.15,Cooling Tower Performance Needs To Be Improvement,Low Efficient,,Open,
HIRAKUD-SMELTER,IR Cooling Tower,21-JUN-2024,35,32,36,24,3,8,27.27,Cooling Tower Performance Needs To Be Improvement,Low Efficient,,Open,
HIRAKUD-SMELTER,IR Cooling Tower,28-MAY-2024,40,35,41,26,5,9,35.71,Cooling Tower Performance Needs To Be Improvement,Low Efficient,,Open,
